neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights
20,14,2,1,2.0,1.0,1.0,3,2299.0,3000.0,1,0.0,3
19,1,2,2,1.0,1.0,2.0,3,5802.0,3000.0,1,1500.0,3
33,14,2,1,1.0,1.0,1.0,3,3284.0,2160.0,1,0.0,3
27,14,2,3,1.0,1.0,3.0,3,3284.0,0.0,1,2737.0,3
45,7,0,3,1.5,0.0,3.0,3,24961.0,6000.0,3,0.0,2
49,1,0,4,1.0,1.0,4.0,3,9525.0,2700.0,3,1600.0,1
51,1,2,1,1.0,1.0,1.0,3,4817.0,2000.0,1,0.0,2
28,14,2,2,1.0,1.0,1.0,3,7663.0,3000.0,1,2500.0,2
28,14,0,6,1.0,2.0,5.0,3,17954.0,6000.0,3,2000.0,2
47,16,0,2,1.0,1.0,2.0,3,29997.0,2000.0,1,3000.0,1
51,1,0,6,1.0,2.0,6.0,3,6897.0,2500.0,2,2200.0,3
46,14,0,6,1.0,1.0,2.0,3,15984.0,10000.0,2,2900.0,3
19,14,2,2,1.0,1.0,2.0,3,3503.0,2000.0,1,1500.0,2
45,7,0,6,1.5,1.0,6.0,3,35033.0,8000.0,6,0.0,2
42,1,0,3,1.0,1.0,3.0,3,9962.0,9000.0,2,2400.0,3
18,1,0,5,1.0,1.0,5.0,3,4160.0,4379.0,4,1642.0,3
27,14,2,2,1.0,1.0,1.0,3,4379.0,1095.0,1,3284.0,1
27,14,2,3,1.0,1.0,0.0,3,3503.0,1000.0,1,1200.0,1
19,1,2,8,2.0,3.0,8.0,3,22990.0,5000.0,1,0.0,3
42,14,2,2,1.5,1.0,1.0,3,7007.0,6980.0,1,1980.0,1
44,1,0,3,1.0,1.0,1.0,3,7773.0,3500.0,2,3000.0,2
49,14,0,6,1.0,3.0,6.0,3,24632.0,8758.0,4,5474.0,3
49,1,0,12,1.0,3.0,6.0,3,31967.0,6000.0,5,3500.0,2
49,1,0,8,1.0,2.0,3.0,3,16969.0,5000.0,3,4500.0,2
49,1,0,5,1.0,1.0,2.0,3,5036.0,4500.0,3,3000.0,3
47,16,0,2,1.0,1.0,2.0,3,29997.0,2000.0,1,3000.0,1
